725128, "STATE COLLEGE [PENN STATE - SURFRAD]", PA, -5.0, 40.72, -77.93, 376.0 
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,12.0,A,7,8.0,A,7,76,A,7,969,E,9,240,A,7,5.1,A,7,16100,B,7,990,A,7,1.1,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,02:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12.0,A,7,8.0,A,7,76,A,7,969,E,9,240,A,7,6.2,A,7,16100,B,7,1140,A,7,1.1,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,03:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,12.0,A,7,7.0,A,7,71,A,7,969,E,9,240,A,7,5.1,A,7,16100,B,7,1230,A,7,1.1,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,04:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,12.0,A,7,7.0,A,7,71,A,7,969,E,9,250,A,7,6.2,A,7,16100,B,7,1260,A,7,1.2,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,05:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12.0,A,7,7.0,A,7,71,A,7,969,E,9,270,A,7,8.7,A,7,16100,B,7,1200,A,7,1.1,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,06:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,12.0,A,7,6.0,A,7,67,A,7,969,E,9,250,A,7,6.7,A,7,16100,B,7,1200,A,7,1.1,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,07:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,11.0,A,7,6.0,A,7,71,A,7,969,E,9,270,A,7,5.7,A,7,16100,B,7,1050,A,7,1.0,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,08:00,15,531,70.60415752986232,2,9,1180.4540669121645,2,21,3.6732727437482566,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,9,A,7,11.0,A,7,7.0,A,7,76,A,7,969,E,9,250,A,7,5.1,A,7,16100,B,7,1020,A,7,1.0,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,09:00,188,1415,257.62273731503535,2,9,1180.4540669121645,2,21,14.62023407704254,2,9,88,2,9,66,2,21,79,2,9,146,2,25,10,E,9,10,A,7,12.0,A,7,7.0,A,7,71,A,7,969,E,9,260,A,7,7.7,A,7,16100,B,7,930,A,7,1.0,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,10:00,380,1415,408.01077765494426,2,9,1180.4540669121645,2,21,23.479261837453407,2,9,141,2,9,40,2,21,130,2,9,294,2,25,10,E,9,5,A,7,12.0,A,7,6.0,A,7,67,A,7,969,E,9,270,A,7,6.2,A,7,16100,B,7,77777,A,7,1.0,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,11:00,523,1415,509.2923672401412,2,9,1180.4540669121645,2,21,29.448151209453897,2,9,193,2,9,35,2,21,179,2,9,437,2,25,10,E,9,5,A,7,12.0,A,7,5.0,A,7,62,A,7,969,E,9,280,A,7,9.3,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,12:00,606,1415,554.314237725825,2,9,1180.4540669121645,2,21,32.10169330114854,2,9,366,2,9,346,2,21,217,2,9,441,2,25,0,E,9,0,A,7,13.0,A,7,3.0,A,7,51,A,7,969,E,9,280,A,7,5.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,13:00,624,1415,539.9554838058215,2,9,1180.4540669121645,2,21,31.255392375801364,2,9,409,2,9,528,2,21,175,2,9,302,2,25,0,E,9,0,A,7,14.0,A,7,1.0,A,7,41,A,7,969,E,9,300,A,7,6.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,14:00,574,1415,467.20931152712666,2,9,1180.4540669121645,2,21,26.967930871288843,2,9,366,2,9,479,2,21,170,2,9,294,2,25,0,E,9,0,A,7,14.0,A,7,1.0,A,7,41,A,7,969,E,9,270,A,7,6.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,15:00,461,1415,341.14577332166294,2,9,1180.4540669121645,2,21,19.539451816064286,2,9,284,2,9,451,2,21,136,2,9,206,2,25,0,E,9,0,A,7,13.0,A,7,0.0,A,7,41,A,7,969,E,9,280,A,7,5.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,16:00,293,1415,170.96548289210526,2,9,1180.4540669121645,2,21,9.523679513688563,2,9,161,2,9,258,2,21,107,2,9,166,2,25,0,E,9,0,A,7,12.0,A,7,0.0,A,7,44,A,7,969,E,9,320,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,17:00,86,1262,0.0,2,9,0.0,2,21,0.0,2,9,24,2,9,19,2,21,22,2,9,31,2,25,0,E,9,0,A,7,10.0,A,7,0.0,A,7,50,A,7,969,E,9,340,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,18:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,9.0,A,7,-1.0,A,7,49,A,7,969,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,19:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8.0,A,7,-2.0,A,7,48,A,7,969,E,9,350,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,20:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,7.0,A,7,-2.0,A,7,52,A,7,969,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,21:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,6.0,A,7,-2.0,A,7,55,A,7,969,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,22:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4.0,A,7,-2.0,A,7,64,A,7,969,E,9,30,A,7,4.6,A,7,16100,B,7,77777,A,7,1.0,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,23:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2.0,A,7,-2.0,A,7,73,A,7,969,E,9,40,A,7,4.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/01/2005,24:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,2.0,A,7,-3.0,A,7,67,A,7,969,E,9,30,A,7,2.6,A,7,16100,B,7,990,A,7,1.1,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8
01/02/2005,01:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1.0,A,7,-3.0,A,7,72,A,7,969,E,9,40,A,7,3.1,A,7,16100,B,7,990,A,7,1.2,E,8,0.101,F,8,0.18,F,8,0,1,D,9,0,C,8
01/02/2005,02:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,0.0,A,7,-3.0,A,7,78,A,7,969,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.3,E,8,0.101,F,8,0.18,F,8,0,1,D,9,0,C,8
01/02/2005,03:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,0.0,A,7,-3.0,A,7,78,A,7,969,E,9,40,A,7,1.5,A,7,16100,B,7,77777,A,7,1.4,E,8,0.101,F,8,0.18,F,8,0,1,D,9,0,C,8
01/02/2005,04:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,0.0,A,7,-3.0,A,7,78,A,7,969,E,9,40,A,7,3.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.101,F,8,0.18,F,8,0,1,D,9,0,C,8
01/02/2005,05:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1.0,A,7,-3.0,A,7,72,A,7,969,E,9,50,A,7,1.5,A,7,16100,B,7,2700,A,7,1.6,E,8,0.101,F,8,0.18,F,8,0,1,D,9,0,C,8
01/02/2005,06:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1.0,A,7,-3.0,A,7,72,A,7,969,E,9,100,A,7,1.5,A,7,16100,B,7,2400,A,7,1.7,E,8,0.101,F,8,0.18,F,8,0,1,D,9,0,C,8
01/02/2005,07:00,0,0,0.0,2,0,0.0,2,0,0.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,1.0,A,7,-2.0,A,7,79,A,7,969,E,9,0,A,7,0.0,A,7,16100,B,7,2100,A,7,1.8,E,8,0.101,F,8,0.18,F,8,0,1,D,9,0,C,8
