PVSYST 7.3.4
,File,File date,Description
Project,Washington_Project.PRJ,24/06/24 19h32,New Test Site,
Geographical Site,Washington_MN81.SIT,24/06/24 19h32,Washington;United States;North_America;,
Meteo data,PVModel_Site_DC_NREL_TMY.MET,24/06/24 19h32,PVModel_Site_DC;NREL NSRDB Typ. Met. Year PSMv3;TMY,
Simulation variant,Washington_Project.VC0,24/06/24 19h31,New simulation variant,
Simulation date,,27/06/24 13h04

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobHor,DiffHor,HSol,EArray,EOutInv
    ,W/m²,W/m²,°,kW,kW

01/01/90 00:00,0,0,0,0,-0.3
01/01/90 01:00,0,0,0,0,-0.3
01/01/90 02:00,0,0,0,0,-0.3
01/01/90 03:00,0,0,0,0,-0.3
01/01/90 04:00,0,0,0,0,-0.3
01/01/90 05:00,0,0,0,0,-0.3
01/01/90 06:00,0,0,0,0,-0.3
01/01/90 07:00,9.0039,7.9991,2.4158,0,-0.3
01/01/90 08:00,143,41.002,9.3288,98.575,94.242
01/01/90 09:00,306.01,55.002,17.504,120.78,115.95
01/01/90 10:00,403,77.002,23.717,169.48,163.85
01/01/90 11:00,394.01,133,27.358,302.8,295.51
01/01/90 12:00,343,153,27.96,345.91,338.22
01/01/90 13:00,294.01,135,25.435,292.75,285.57
01/01/90 14:00,256,108,20.129,234.95,228.33
01/01/90 15:00,194.01,55.002,12.627,118.87,114.11
01/01/90 16:00,44,23.997,4.3313,49.784,46.703
01/01/90 17:00,0,0,0,0,-0.3
01/01/90 18:00,0,0,0,0,-0.3
01/01/90 19:00,0,0,0,0,-0.3
01/01/90 20:00,0,0,0,0,-0.3
01/01/90 21:00,0,0,0,0,-0.3
01/01/90 22:00,0,0,0,0,-0.3
01/01/90 23:00,0,0,0,0,-0.3
02/01/90 00:00,0,0,0,0,-0.3
02/01/90 01:00,0,0,0,0,-0.3
02/01/90 02:00,0,0,0,0,-0.3
02/01/90 03:00,0,0,0,0,-0.3
02/01/90 04:00,0,0,0,0,-0.3
02/01/90 05:00,0,0,0,0,-0.3
02/01/90 06:00,0,0,0,0,-0.3
02/01/90 07:00,9.0039,7.9991,2.4013,0,-0.3
02/01/90 08:00,148,36.999,9.3263,86.364,82.326
02/01/90 09:00,303,51.998,17.522,113.04,108.34
02/01/90 10:00,427,62.002,23.76,156.98,151.55
02/01/90 11:00,499,64.999,27.427,203.38,197.2
02/01/90 12:00,512,64.999,28.053,213.03,206.72
02/01/90 13:00,464,62.002,25.548,170.42,164.83
02/01/90 14:00,360,55.002,20.254,133.65,128.67
02/01/90 15:00,213,43,12.76,95.459,91.268
02/01/90 16:00,54.996,23.997,4.3058,55.878,52.646
02/01/90 17:00,0,0,0,0,-0.3
02/01/90 18:00,0,0,0,0,-0.3
