PVSYST 7.3.4
,File,File date,Description
Project,Washington_Project.PRJ,24/06/24 19h32,New Test Site,
Geographical Site,Washington_MN81.SIT,24/06/24 19h32,Washington;United States;North_America;,
Meteo data,PVModel_Site_DC_NREL_TMY.MET,24/06/24 19h32,PVModel_Site_DC;NREL NSRDB Typ. Met. Year PSMv3;TMY,
Simulation variant,Washington_Project.VC0,27/06/24 13h05,New simulation variant,
Simulation date,,27/06/24 13h06

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobHor,DiffHor,HSol,EArray,EOutInv
    ,W/m²,W/m²,°,kW,kW

01/01/90 00:00,0,0,0,0,-0.3
01/01/90 01:00,0,0,0,0,-0.3
01/01/90 02:00,0,0,0,0,-0.3
01/01/90 03:00,0,0,0,0,-0.3
01/01/90 04:00,0,0,0,0,-0.3
01/01/90 05:00,0,0,0,0,-0.3
01/01/90 06:00,0,0,0,0,-0.3
01/01/90 07:00,9.0039,7.9991,2.4158,0,-0.3
01/01/90 08:00,143,41.002,9.3288,66.68,63.251
01/01/90 09:00,306.01,55.002,17.504,81.697,77.934
01/01/90 10:00,403,77.002,23.717,114.64,110.12
01/01/90 11:00,394.01,133,27.358,204.83,198.87
01/01/90 12:00,343,153,27.96,233.99,227.63
01/01/90 13:00,294.01,135,25.435,198.03,192.19
01/01/90 14:00,256,108,20.129,158.93,153.72
01/01/90 15:00,194.01,55.002,12.627,80.409,76.697
01/01/90 16:00,44,23.997,4.3313,33.676,31.022
01/01/90 17:00,0,0,0,0,-0.3
01/01/90 18:00,0,0,0,0,-0.3
01/01/90 19:00,0,0,0,0,-0.3
01/01/90 20:00,0,0,0,0,-0.3
01/01/90 21:00,0,0,0,0,-0.3
01/01/90 22:00,0,0,0,0,-0.3
01/01/90 23:00,0,0,0,0,-0.3
02/01/90 00:00,0,0,0,0,-0.3
02/01/90 01:00,0,0,0,0,-0.3
02/01/90 02:00,0,0,0,0,-0.3
02/01/90 03:00,0,0,0,0,-0.3
02/01/90 04:00,0,0,0,0,-0.3
02/01/90 05:00,0,0,0,0,-0.3
02/01/90 06:00,0,0,0,0,-0.3
02/01/90 07:00,9.0039,7.9991,2.4013,0,-0.3
02/01/90 08:00,148,36.999,9.3263,58.42,55.174
02/01/90 09:00,303,51.998,17.522,76.467,72.81
02/01/90 10:00,427,62.002,23.76,106.19,101.85
02/01/90 11:00,499,64.999,27.427,137.58,132.69
02/01/90 12:00,512,64.999,28.053,144.1,139.13
02/01/90 13:00,464,62.002,25.548,115.28,110.78
02/01/90 14:00,360,55.002,20.254,90.408,86.485
02/01/90 15:00,213,43,12.76,64.572,61.232
02/01/90 16:00,54.996,23.997,4.3058,37.798,35.051
02/01/90 17:00,0,0,0,0,-0.3
02/01/90 18:00,0,0,0,0,-0.3
