PVSYST 7.3.4
,File,File date,Description
Project,Washington_Project.PRJ,27/06/24 13h07,New Test Site,
Geographical Site,Washington_MN81.SIT,27/06/24 13h07,Washington;United States;North_America;,
Meteo data,PSUTestSite_Clear_Sky_NREL_TMY.MET,24/06/24 07h46,PSUTestSite_Clear_Sky;NREL NSRDB Typ. Met. Year PSMv3;TMY,
Simulation variant,Washington_Project.VC0,27/06/24 13h05,New simulation variant,
Simulation date,,27/06/24 13h09

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobHor,DiffHor,HSol,EArray,EOutInv
    ,W/m²,W/m²,°,kW,kW

01/01/90 00:00,0,0,0,0,-0.3
01/01/90 01:00,0,0,0,0,-0.3
01/01/90 02:00,0,0,0,0,-0.3
01/01/90 03:00,0,0,0,0,-0.3
01/01/90 04:00,0,0,0,0,-0.3
01/01/90 05:00,0,0,0,0,-0.3
01/01/90 06:00,0,0,0,0,-0.3
01/01/90 07:00,0,0,2.4158,0,-0.3
01/01/90 08:00,141.99,141.99,9.3288,215.18,209
01/01/90 09:00,298,298,17.504,421.53,413.49
01/01/90 10:00,416,416,23.717,567.77,557.84
01/01/90 11:00,484,484,27.358,657.2,646.04
01/01/90 12:00,495,495,27.96,671.54,660.2
01/01/90 13:00,448,448,25.435,607.32,596.88
01/01/90 14:00,344,344,20.129,478.82,470.18
01/01/90 15:00,198.99,198.99,12.627,293.26,286.38
01/01/90 16:00,47.006,47.006,4.3313,75.869,72.258
01/01/90 17:00,0,0,0,0,-0.3
01/01/90 18:00,0,0,0,0,-0.3
01/01/90 19:00,0,0,0,0,-0.3
01/01/90 20:00,0,0,0,0,-0.3
01/01/90 21:00,0,0,0,0,-0.3
01/01/90 22:00,0,0,0,0,-0.3
01/01/90 23:00,0,0,0,0,-0.3
02/01/90 00:00,0,0,0,0,-0.3
02/01/90 01:00,0,0,0,0,-0.3
02/01/90 02:00,0,0,0,0,-0.3
02/01/90 03:00,0,0,0,0,-0.3
02/01/90 04:00,0,0,0,0,-0.3
02/01/90 05:00,0,0,0,0,-0.3
02/01/90 06:00,0,0,0,0,-0.3
02/01/90 07:00,0,0,2.4013,0,-0.3
02/01/90 08:00,133,133,9.3263,207.81,201.71
02/01/90 09:00,282.99,282.99,17.522,413.99,405.96
02/01/90 10:00,401.99,401.99,23.76,562.85,552.95
02/01/90 11:00,471,471,27.427,652.07,640.98
02/01/90 12:00,482.99,482.99,28.053,665.91,654.67
02/01/90 13:00,436.99,436.99,25.548,601.37,591.04
02/01/90 14:00,338,338,20.254,474.85,466.3
02/01/90 15:00,198,198,12.76,293.04,286.18
02/01/90 16:00,47.996,47.996,4.3058,77.187,73.542
02/01/90 17:00,0,0,0,0,-0.3
02/01/90 18:00,0,0,0,0,-0.3
