Time stamp,Irradiance DNI from weather file | (W/m2),Inverter AC output power | (kW)
1,0,-0.297
2,0,-0.297
3,0,-0.297
4,0,-0.297
5,0,-0.297
6,0,-0.297
7,0,-0.297
8,111,37.7328
9,622,898.297
10,831,1687.55
11,809,2021.31
12,567,1839.42
13,403,1536.28
14,369,1344.64
15,426,1243.94
16,626,1132.47
17,294,203.795
18,0,-0.297
19,0,-0.297
20,0,-0.297
21,0,-0.297
22,0,-0.297
23,0,-0.297
24,0,-0.297
25,0,-0.297
26,0,-0.297
27,0,-0.297
28,0,-0.297
29,0,-0.297
30,0,-0.297
31,0,-0.297
32,107,36.3864
33,676,948.458
34,832,1683.02
35,903,2079
36,939,2079
37,947,2079
38,929,2079
39,876,1883.84
40,757,1267.45
41,448,274.561
42,0,-0.297
43,0,-0.297
44,0,-0.297
45,0,-0.297
46,0,-0.297
47,0,-0.297
48,0,-0.297
49,0,-0.297
50,0,-0.297
51,0,-0.297
52,0,-0.297
53,0,-0.297
54,0,-0.297
55,0,-0.297
56,84,28.7899
57,333,594.625
58,796,1616.68
59,437,1433.87
60,122,955.992
61,168,1091.62
62,661,1852.36
63,760,1706.46
64,415,856.967
65,113,128.843
66,0,-0.297
67,0,-0.297
68,0,-0.297
69,0,-0.297
70,0,-0.297
71,0,-0.297
72,0,-0.297
73,0,-0.297
74,0,-0.297
75,0,-0.297
76,0,-0.297
77,0,-0.297
78,0,-0.297
79,0,-0.297
80,7,-0.297
81,98,282.198
82,0,140.462
83,0,239.909
84,33,638.29
85,28,614.249
86,2,288.884
87,76,571.641
88,303,700.928
89,212,202.318
90,0,-0.297
91,0,-0.297
92,0,-0.297
93,0,-0.297
94,0,-0.297
95,0,-0.297
96,0,-0.297
97,0,-0.297
98,0,-0.297
99,0,-0.297
100,0,-0.297
101,0,-0.297
102,0,-0.297
103,0,-0.297
104,92,34.4569
105,603,927.233
106,832,1918.9
107,888,2079
108,894,2079
109,888,2079
110,907,2079
111,853,2079
112,711,1325.19
113,319,298.479
114,0,-0.297
115,0,-0.297
116,0,-0.297
117,0,-0.297
118,0,-0.297
119,0,-0.297
120,0,-0.297
121,0,-0.297
122,0,-0.297
123,0,-0.297
124,0,-0.297
125,0,-0.297
126,0,-0.297
127,0,-0.297
128,94,35.0567
129,681,1000.5
130,848,1929.3
131,895,2079
132,887,2079
133,908,2079
134,894,2079
135,845,2079
136,731,1413.08
137,407,380.635
138,0,-0.297
139,0,-0.297
140,0,-0.297
141,0,-0.297
142,0,-0.297
143,0,-0.297
144,0,-0.297
145,0,-0.297
146,0,-0.297
147,0,-0.297
148,0,-0.297
149,0,-0.297
150,0,-0.297
151,0,-0.297
152,119,45.0332
153,667,977.971
154,832,1865.82
155,838,2079
156,830,2079
157,790,2079
158,722,2079
159,636,1757.65
160,525,1109.82
161,187,252.392
162,0,-0.297
163,0,-0.297
164,0,-0.297
165,0,-0.297
166,0,-0.297
167,0,-0.297
168,0,-0.297
169,0,-0.297
170,0,-0.297
171,0,-0.297
172,0,-0.297
173,0,-0.297
174,0,-0.297
175,0,-0.297
176,17,3.30576
177,4,180.5
178,209,878.831
179,661,1989.92
180,418,1779.28
181,247,1494.76
182,381,1622.91
183,204,1057.24
184,65,449.033
185,15,96.4308
186,0,-0.297
187,0,-0.297
188,0,-0.297
189,0,-0.297
190,0,-0.297
191,0,-0.297
192,0,-0.297
193,0,-0.297
194,0,-0.297
195,0,-0.297
196,0,-0.297
197,0,-0.297
198,0,-0.297
199,0,-0.297
200,97,35.642
201,584,880.682
202,588,1445.47
203,32,664.97
204,439,1798.22
205,504,1879.63
206,782,2079
207,728,1826.82
208,668,1284.73
209,414,420.426
210,0,-0.297
211,0,-0.297
212,0,-0.297
213,0,-0.297
214,0,-0.297
215,0,-0.297
216,0,-0.297
217,0,-0.297
218,0,-0.297
219,0,-0.297
220,0,-0.297
221,0,-0.297
222,0,-0.297
223,0,-0.297
224,18,5.41383
225,111,362.04
226,507,1358.38
227,228,1163.36
228,157,1136.04
229,823,2079
230,74,822.532
231,27,557.509
232,32,275.485
233,168,216.055
234,0,-0.297
235,0,-0.297
236,0,-0.297
237,0,-0.297
238,0,-0.297
239,0,-0.297
240,0,-0.297
241,0,-0.297
242,0,-0.297
243,0,-0.297
244,0,-0.297
245,0,-0.297
246,0,-0.297
247,0,-0.297
248,13,3.99922
249,18,215.104
250,252,964.077
251,286,1317.74
252,97,972.007
253,245,1427.37
254,247,1333.92
255,359,1314.81
256,34,384.635
257,14,96.711
258,0,-0.297
259,0,-0.297
260,0,-0.297
261,0,-0.297
262,0,-0.297
263,0,-0.297
264,0,-0.297
265,0,-0.297
266,0,-0.297
267,0,-0.297
268,0,-0.297
269,0,-0.297
270,0,-0.297
271,0,-0.297
272,17,2.79504
273,3,147.491
274,3,198.038
275,0,157.802
276,3,370.666
277,9,363.988
278,11,391.597
279,11,254.895
280,15,300.908
281,0,67.9155
282,0,-0.297
283,0,-0.297
284,0,-0.297
285,0,-0.297
286,0,-0.297
287,0,-0.297
288,0,-0.297
289,0,-0.297
290,0,-0.297
291,0,-0.297
292,0,-0.297
293,0,-0.297
294,0,-0.297
295,0,-0.297
296,22,6.36738
297,25,83.1756
298,12,314.026
299,77,829.071
300,837,2079
301,900,2079
302,883,2079
303,836,2079
304,723,1449.54
305,415,478.984
306,0,-0.297
307,0,-0.297
308,0,-0.297
309,0,-0.297
310,0,-0.297
311,0,-0.297
312,0,-0.297
313,0,-0.297
314,0,-0.297
315,0,-0.297
316,0,-0.297
317,0,-0.297
318,0,-0.297
319,0,-0.297
320,136,49.5957
321,689,997.521
322,862,1937.43
323,940,2079
324,978,2079
325,989,2079
326,973,2079
327,924,2079
328,819,1592.8
329,376,449.485
330,0,-0.297
331,0,-0.297
332,0,-0.297
333,0,-0.297
334,0,-0.297
335,0,-0.297
336,0,-0.297
337,0,-0.297
338,0,-0.297
339,0,-0.297
340,0,-0.297
341,0,-0.297
342,0,-0.297
343,0,-0.297
344,110,42.1486
345,619,925.86
346,222,954.331
347,93,842.46
348,477,1884.31
349,231,1453.21
350,493,1854.57
351,605,1772.36
352,446,1101.02
353,217,342.841
354,0,-0.297
355,0,-0.297
356,0,-0.297
357,0,-0.297
358,0,-0.297
359,0,-0.297
360,0,-0.297
361,0,-0.297
362,0,-0.297
363,0,-0.297
364,0,-0.297
365,0,-0.297
366,0,-0.297
367,0,-0.297
368,21,8.17153
369,387,705.404
370,292,1040.86
371,258,1302.98
372,492,1890.04
373,521,1963.46
374,413,1698.07
375,424,1468.5
376,292,871.936
377,114,251.534
378,0,-0.297
379,0,-0.297
380,0,-0.297
381,0,-0.297
382,0,-0.297
383,0,-0.297
384,0,-0.297
385,0,-0.297
386,0,-0.297
387,0,-0.297
388,0,-0.297
389,0,-0.297
390,0,-0.297
391,0,-0.297
392,5,1.9787
393,16,196.699
394,0,125.233
395,0,362.474
396,48,887.691
397,102,1108.46
398,55,880.013
399,195,1036.13
400,280,879.713
401,104,238.916
402,0,-0.297
403,0,-0.297
404,0,-0.297
405,0,-0.297
406,0,-0.297
407,0,-0.297
408,0,-0.297
409,0,-0.297
410,0,-0.297
411,0,-0.297
412,0,-0.297
413,0,-0.297
414,0,-0.297
415,0,-0.297
416,124,41.8891
417,574,840.029
418,832,1698.82
419,917,2079
420,957,2079
421,955,2079
422,926,2079
423,879,1953.05
424,768,1398.07
425,520,569.952
426,0,-0.297
427,0,-0.297
428,0,-0.297
429,0,-0.297
430,0,-0.297
431,0,-0.297
432,0,-0.297
433,0,-0.297
434,0,-0.297
435,0,-0.297
436,0,-0.297
437,0,-0.297
438,0,-0.297
439,0,-0.297
440,120,39.7115
441,583,856.414
442,550,1293.35
443,713,1846.96
444,939,2079
445,947,2079
446,928,2079
447,870,1872.45
448,766,1364.32
449,524,574.607
450,0,-0.297
451,0,-0.297
452,0,-0.297
453,0,-0.297
454,0,-0.297
455,0,-0.297
456,0,-0.297
457,0,-0.297
458,0,-0.297
459,0,-0.297
460,0,-0.297
461,0,-0.297
462,0,-0.297
463,0,-0.297
464,126,42.4802
465,637,895.471
466,807,1596.83
467,889,2026.69
468,816,2079
469,758,2079
470,611,1793.4
471,833,1821.06
472,595,1164.23
473,334,433.626
474,0,-0.297
475,0,-0.297
476,0,-0.297
477,0,-0.297
478,0,-0.297
479,0,-0.297
480,0,-0.297
481,0,-0.297
482,0,-0.297
483,0,-0.297
484,0,-0.297
485,0,-0.297
486,0,-0.297
487,0,-0.297
488,78,27.1439
489,453,706.356
490,22,362.264
491,114,807.57
492,0,267.167
493,321,1425.19
494,420,1520.13
495,227,980.786
496,75,431.733
497,12,106.409
498,0,-0.297
499,0,-0.297
500,0,-0.297
501,0,-0.297
502,0,-0.297
503,0,-0.297
504,0,-0.297
505,0,-0.297
506,0,-0.297
507,0,-0.297
508,0,-0.297
509,0,-0.297
510,0,-0.297
511,0,-0.297
512,12,5.07935
513,105,338.989
514,124,635.004
515,134,863.845
516,49,721.705
517,118,995.464
518,316,1332.34
519,320,1128.82
520,212,638.349
521,68,160.961
522,0,-0.297
523,0,-0.297
524,0,-0.297
525,0,-0.297
526,0,-0.297
527,0,-0.297
528,0,-0.297
529,0,-0.297
530,0,-0.297
531,0,-0.297
532,0,-0.297
533,0,-0.297
534,0,-0.297
535,0,-0.297
536,86,29.5484
537,70,129.061
538,109,552.169
539,99,436.407
540,236,1214.03
541,647,1959.26
542,60,455.709
543,172,569.596
544,697,1293.83
545,553,615.521
546,0,-0.297
547,0,-0.297
548,0,-0.297
549,0,-0.297
550,0,-0.297
551,0,-0.297
552,0,-0.297
553,0,-0.297
554,0,-0.297
555,0,-0.297
556,0,-0.297
557,0,-0.297
558,0,-0.297
559,0,-0.297
560,102,40.9451
561,105,253.978
562,28,232.622
563,152,835.751
564,122,995.532
565,79,823.782
566,160,963.72
567,272,1063.43
568,87,468.295
569,36,134.557
570,0,-0.297
571,0,-0.297
572,0,-0.297
573,0,-0.297
574,0,-0.297
575,0,-0.297
576,0,-0.297
577,0,-0.297
578,0,-0.297
579,0,-0.297
580,0,-0.297
581,0,-0.297
582,0,-0.297
583,0,-0.297
584,151,55.1852
585,630,928.599
586,806,1675.11
587,892,2079
588,933,2079
589,938,2079
590,914,2079
591,865,1986.41
592,762,1444.6
593,533,653.766
594,0,-0.297
595,0,-0.297
596,0,-0.297
597,0,-0.297
598,0,-0.297
599,0,-0.297
600,0,-0.297
601,0,-0.297
602,0,-0.297
603,0,-0.297
604,0,-0.297
605,0,-0.297
606,0,-0.297
607,0,-0.297
608,129,49.1771
609,596,899.354
610,782,1618.82
611,872,2078.31
612,908,2079
613,914,2079
614,695,1992.92
615,711,1763.88
616,718,1378.15
617,526,649.996
618,0,-0.297
619,0,-0.297
620,0,-0.297
621,0,-0.297
622,0,-0.297
623,0,-0.297
624,0,-0.297
625,0,-0.297
626,0,-0.297
627,0,-0.297
628,0,-0.297
629,0,-0.297
630,0,-0.297
631,0,-0.297
632,153,57.083
633,620,909.874
634,783,1605.36
635,863,2060.96
636,811,2079
637,901,2079
638,769,2079
639,387,1300.46
640,102,528.344
641,0,102.311
642,15,-0.297
643,0,-0.297
644,0,-0.297
645,0,-0.297
646,0,-0.297
647,0,-0.297
648,0,-0.297
649,0,-0.297
650,0,-0.297
651,0,-0.297
652,0,-0.297
653,0,-0.297
654,0,-0.297
655,0,-0.297
656,0,-0.297
657,0,10.1653
658,0,66.896
659,0,216.234
660,1,440.029
661,2,369.542
662,0,144.709
663,0,121.852
664,0,56.5009
665,0,22.1078
666,6,-0.297
667,0,-0.297
668,0,-0.297
669,0,-0.297
670,0,-0.297
671,0,-0.297
672,0,-0.297
673,0,-0.297
674,0,-0.297
675,0,-0.297
676,0,-0.297
677,0,-0.297
678,0,-0.297
679,0,-0.297
680,7,-0.858113
681,0,54.6061
682,1,197.396
683,2,265.334
684,9,476.921
685,0,291.436
686,0,171.516
687,3,298.587
688,3,160.428
689,0,43.2052
690,15,-0.297
691,0,-0.297
692,0,-0.297
693,0,-0.297
694,0,-0.297
695,0,-0.297
696,0,-0.297
697,0,-0.297
698,0,-0.297
699,0,-0.297
700,0,-0.297
701,0,-0.297
702,0,-0.297
703,0,-0.297
704,28,19.8397
705,45,223.383
706,112,621.776
707,481,1646.95
708,753,2079
709,832,2079
710,833,2079
711,819,2053.12
712,749,1522.07
713,573,739.43
714,31,-0.297
715,0,-0.297
716,0,-0.297
717,0,-0.297
718,0,-0.297
719,0,-0.297
720,0,-0.297
721,0,-0.297
722,0,-0.297
723,0,-0.297
724,0,-0.297
725,0,-0.297
726,0,-0.297
727,0,-0.297
728,60,30.9663
729,320,652.998
730,812,1681.49
731,878,2079
732,900,2079
733,681,2079
734,223,1263.06
735,135,867.266
736,254,786.527
737,379,566.329
738,48,-0.297
739,0,-0.297
740,0,-0.297
741,0,-0.297
742,0,-0.297
743,0,-0.297
744,0,-0.297
745,0,-0.297
746,0,-0.297
747,0,-0.297
748,0,-0.297
749,0,-0.297
750,0,-0.297
751,0,-0.297
752,202,71.1414
753,626,963.377
754,790,1670.28
755,868,2079
756,909,2079
757,920,2079
758,893,2079
759,851,1971.57
760,766,1469.97
761,566,715.657
762,0,-0.297
763,0,-0.297
764,0,-0.297
765,0,-0.297
766,0,-0.297
767,0,-0.297
768,0,-0.297
769,0,-0.297
770,0,-0.297
771,0,-0.297
772,0,-0.297
773,0,-0.297
774,0,-0.297
775,0,-0.297
776,124,52.1896
777,522,868.689
778,702,1532.42
779,767,1926.93
780,811,2079
781,813,2079
782,723,2079
783,448,1527.09
784,192,790.68
785,101,323.711
786,0,-0.297
787,0,-0.297
788,0,-0.297
789,0,-0.297
790,0,-0.297
791,0,-0.297
792,0,-0.297
793,0,-0.297
794,0,-0.297
795,0,-0.297
796,0,-0.297
797,0,-0.297
798,0,-0.297
799,0,-0.297
800,0,-0.297
801,0,31.55
802,0,83.1329
803,60,765.881
804,60,881.397
805,0,432.324
806,739,2079
807,283,1246.56
808,597,1398.66
809,411,656.756
810,0,-0.297
811,0,-0.297
812,0,-0.297
813,0,-0.297
814,0,-0.297
815,0,-0.297
816,0,-0.297
817,0,-0.297
818,0,-0.297
819,0,-0.297
820,0,-0.297
821,0,-0.297
822,0,-0.297
823,0,-0.297
824,0,1.7525
825,0,204.571
826,303,1055.78
827,596,1955.41
828,647,2079
829,177,1316.66
830,46,812.401
831,345,1358.33
832,0,131.519
833,348,626.096
834,0,-0.297
835,0,-0.297
836,0,-0.297
837,0,-0.297
838,0,-0.297
839,0,-0.297
840,0,-0.297
841,0,-0.297
842,0,-0.297
843,0,-0.297
844,0,-0.297
845,0,-0.297
846,0,-0.297
847,0,-0.297
848,267,120.546
849,691,1081.96
850,851,1849.63
851,917,2079
852,957,2079
853,971,2079
854,944,2079
855,892,2079
856,797,1638.7
857,632,843.957
858,0,-0.297
859,0,-0.297
860,0,-0.297
861,0,-0.297
862,0,-0.297
863,0,-0.297
864,0,-0.297
865,0,-0.297
866,0,-0.297
867,0,-0.297
868,0,-0.297
869,0,-0.297
870,0,-0.297
871,0,-0.297
872,197,101.478
873,595,989.543
874,766,1709.75
875,808,2079
876,821,2079
877,846,2079
878,865,2079
879,825,2000.29
880,739,1500.48
881,561,772.516
882,0,-0.297
883,0,-0.297
884,0,-0.297
885,0,-0.297
886,0,-0.297
887,0,-0.297
888,0,-0.297
889,0,-0.297
890,0,-0.297
891,0,-0.297
892,0,-0.297
893,0,-0.297
894,0,-0.297
895,0,-0.297
896,83,62.8223
897,221,571.211
898,601,1512.68
899,784,2057.9
900,853,2079
901,875,2079
902,857,2079
903,816,1968.89
904,706,1456.35
905,333,565.753
906,0,-0.297
907,0,-0.297
908,0,-0.297
909,0,-0.297
910,0,-0.297
911,0,-0.297
912,0,-0.297
913,0,-0.297
914,0,-0.297
915,0,-0.297
916,0,-0.297
917,0,-0.297
918,0,-0.297
919,0,-0.297
920,0,-0.297
921,0,15.2435
922,0,71.7514
923,808,2040.89
924,867,2079
925,890,2079
926,870,2079
927,828,1987.37
928,734,1490.58
929,570,782.493
930,0,-0.297
931,0,-0.297
932,0,-0.297
933,0,-0.297
934,0,-0.297
935,0,-0.297
936,0,-0.297
937,0,-0.297
938,0,-0.297
939,0,-0.297
940,0,-0.297
941,0,-0.297
942,0,-0.297
943,0,-0.297
944,263,130.466
945,651,1043.93
946,806,1677.65
947,458,1567.01
948,505,1832.98
949,384,1692.67
950,788,2079
951,508,1572.43
952,249,924.105
953,358,647.868
954,0,-0.297
955,0,-0.297
956,0,-0.297
957,0,-0.297
958,0,-0.297
959,0,-0.297
960,0,-0.297
961,0,-0.297
962,0,-0.297
963,0,-0.297
964,0,-0.297
965,0,-0.297
966,0,-0.297
967,0,-0.297
968,0,19.3821
969,0,197.27
970,229,967.332
971,296,1357.58
972,260,1467.06
973,63,935.516
974,236,1331.7
975,161,996.121
976,0,74.3476
977,0,169.906
978,0,-0.297
979,0,-0.297
980,0,-0.297
981,0,-0.297
982,0,-0.297
983,0,-0.297
984,0,-0.297
985,0,-0.297
986,0,-0.297
987,0,-0.297
988,0,-0.297
989,0,-0.297
990,0,-0.297
991,0,-0.297
992,0,29.4816
993,182,539.216
994,510,1335.18
995,374,1453.28
996,370,1662.91
997,430,1811.09
998,438,1727.6
999,409,1457.55
1000,184,772.648
1001,10,201.971
1002,0,-0.978439
1003,0,-0.297
1004,0,-0.297
1005,0,-0.297
1006,0,-0.297
1007,0,-0.297
1008,0,-0.297
1009,0,-0.297
1010,0,-0.297
1011,0,-0.297
1012,0,-0.297
1013,0,-0.297
1014,0,-0.297
1015,0,-0.297
1016,331,187.898
1017,689,1086.95
1018,826,1783.12
1019,894,2079
1020,923,2079
1021,928,2079
1022,919,2079
1023,887,2079
1024,810,1632.34
1025,144,400.653
1026,149,39.8473
1027,0,-0.297
1028,0,-0.297
1029,0,-0.297
1030,0,-0.297
1031,0,-0.297
1032,0,-0.297
1033,0,-0.297
1034,0,-0.297
1035,0,-0.297
1036,0,-0.297
1037,0,-0.297
1038,0,-0.297
1039,0,-0.297
1040,0,25.1675
1041,0,176.938
1042,811,1793.63
1043,877,2079
1044,908,2079
1045,902,2079
1046,890,2079
1047,61,785.403
1048,748,1595.91
1049,583,861.57
1050,128,38.5521
1051,0,-0.297
1052,0,-0.297
1053,0,-0.297
1054,0,-0.297
1055,0,-0.297
1056,0,-0.297
1057,0,-0.297
1058,0,-0.297
1059,0,-0.297
1060,0,-0.297
1061,0,-0.297
1062,0,-0.297
1063,0,-0.297
1064,31,81.9421
1065,139,532.297
1066,25,492.965
1067,86,896.443
1068,427,1803.34
1069,125,1213.97
1070,6,534.125
1071,103,888.288
1072,0,208.336
1073,0,119.468
1074,0,-0.297
1075,0,-0.297
1076,0,-0.297
1077,0,-0.297
1078,0,-0.297
1079,0,-0.297
1080,0,-0.297
1081,0,-0.297
1082,0,-0.297
1083,0,-0.297
1084,0,-0.297
1085,0,-0.297
1086,0,-0.297
1087,0,-0.297
1088,320,244.724
1089,661,1124.74
1090,802,1813.25
1091,874,2079
1092,902,2079
1093,903,2079
1094,892,2079
1095,834,2079
1096,730,1574.39
1097,569,823.087
1098,0,22.357
1099,0,-0.297
1100,0,-0.297
1101,0,-0.297
1102,0,-0.297
1103,0,-0.297
1104,0,-0.297
1105,0,-0.297
1106,0,-0.297
1107,0,-0.297
1108,0,-0.297
1109,0,-0.297
1110,0,-0.297
1111,0,-0.297
1112,0,54.7939
1113,137,523.081
1114,159,889.743
1115,820,2079
1116,356,1732.63
1117,0,125.251
1118,39,841.72
1119,0,318.022
1120,289,1019.97
1121,569,890.375
1122,168,65.2373
1123,0,-0.297
1124,0,-0.297
1125,0,-0.297
1126,0,-0.297
1127,0,-0.297
1128,0,-0.297
1129,0,-0.297
1130,0,-0.297
1131,0,-0.297
1132,0,-0.297
1133,0,-0.297
1134,0,-0.297
1135,0,-0.297
1136,427,310.76
1137,736,1195.9
1138,860,1869.1
1139,918,2079
1140,939,2079
1141,938,2079
1142,916,2079
1143,873,2057.34
1144,795,1600.42
1145,631,915.639
1146,210,73.2689
1147,0,-0.297
1148,0,-0.297
1149,0,-0.297
1150,0,-0.297
1151,0,-0.297
1152,0,-0.297
1153,0,-0.297
1154,0,-0.297
1155,0,-0.297
1156,0,-0.297
1157,0,-0.297
1158,0,-0.297
1159,0,-0.297
1160,0,-0.297
1161,0,18.6794
1162,0,37.176
1163,0,15.8094
1164,0,39.3025
1165,0,98.3307
1166,0,150.206
1167,0,47.1983
1168,0,254.128
1169,297,675.492
1170,0,19.8601
1171,0,-0.297
1172,0,-0.297
1173,0,-0.297
1174,0,-0.297
1175,0,-0.297
1176,0,-0.297
1177,0,-0.297
1178,0,-0.297
1179,0,-0.297
1180,0,-0.297
1181,0,-0.297
1182,0,-0.297
1183,0,-0.297
1184,0,-0.297
1185,0,10.5937
1186,0,149.289
1187,813,2079
1188,868,2079
1189,414,1951.12
1190,62,987.939
1191,122,1034.88
1192,783,1727.26
1193,629,968.594
1194,0,51.2467
1195,0,-0.297
1196,0,-0.297
1197,0,-0.297
1198,0,-0.297
1199,0,-0.297
1200,0,-0.297
1201,0,-0.297
1202,0,-0.297
1203,0,-0.297
1204,0,-0.297
1205,0,-0.297
1206,0,-0.297
1207,0,-0.297
1208,391,336.47
1209,690,1219.86
1210,815,1921.01
1211,418,1725.36
1212,941,2079
1213,943,2079
1214,909,2079
1215,866,2079
1216,774,1722.24
1217,614,960.187
1218,201,86.2356
1219,0,-0.297
1220,0,-0.297
1221,0,-0.297
1222,0,-0.297
1223,0,-0.297
1224,0,-0.297
1225,0,-0.297
1226,0,-0.297
1227,0,-0.297
1228,0,-0.297
1229,0,-0.297
1230,0,-0.297
1231,0,-0.297
1232,402,348.528
1233,505,987.543
1234,833,1869.59
1235,891,2079
