Time stamp,Irradiance DNI from weather file | (W/m2),Inverter AC output power | (kW)
1,0,-0.297
2,0,-0.297
3,0,-0.297
4,0,-0.297
5,0,-0.297
6,0,-0.297
7,0,-0.297
8,111,26.4017
9,622,654.74
10,831,1222.47
11,809,1459.33
12,567,1329
13,403,1111.54
14,369,973.855
15,426,901.144
16,626,820.982
17,294,145.03
18,0,-0.297
19,0,-0.297
20,0,-0.297
21,0,-0.297
22,0,-0.297
23,0,-0.297
24,0,-0.297
25,0,-0.297
26,0,-0.297
27,0,-0.297
28,0,-0.297
29,0,-0.297
30,0,-0.297
31,0,-0.297
32,107,25.4422
33,676,696.612
34,832,1227.02
35,903,1551.07
36,939,1722.45
37,947,1747.75
38,929,1628.58
39,876,1354.02
40,757,912.433
41,448,195.826
42,0,-0.297
43,0,-0.297
44,0,-0.297
45,0,-0.297
46,0,-0.297
47,0,-0.297
48,0,-0.297
49,0,-0.297
50,0,-0.297
51,0,-0.297
52,0,-0.297
53,0,-0.297
54,0,-0.297
55,0,-0.297
56,84,20.0397
57,333,429.051
58,796,1159.48
59,437,1028.24
60,122,685.609
61,168,781.632
62,661,1327.71
63,760,1222.36
64,415,612.037
65,113,91.2918
66,0,-0.297
67,0,-0.297
68,0,-0.297
69,0,-0.297
70,0,-0.297
71,0,-0.297
72,0,-0.297
73,0,-0.297
74,0,-0.297
75,0,-0.297
76,0,-0.297
77,0,-0.297
78,0,-0.297
79,0,-0.297
80,7,-0.297
81,98,202.171
82,0,99.5842
83,0,171.232
84,33,462.482
85,28,444.31
86,2,206.373
87,76,412.599
88,303,507.579
89,212,143.964
90,0,-0.297
91,0,-0.297
92,0,-0.297
93,0,-0.297
94,0,-0.297
95,0,-0.297
96,0,-0.297
97,0,-0.297
98,0,-0.297
99,0,-0.297
100,0,-0.297
101,0,-0.297
102,0,-0.297
103,0,-0.297
104,92,24.0677
105,603,686.425
106,832,1414.74
107,888,1783.06
108,894,1886.41
109,888,1904.11
110,907,1872.42
111,853,1568.86
112,711,975.652
113,319,215.967
114,0,-0.297
115,0,-0.297
116,0,-0.297
117,0,-0.297
118,0,-0.297
119,0,-0.297
120,0,-0.297
121,0,-0.297
122,0,-0.297
123,0,-0.297
124,0,-0.297
125,0,-0.297
126,0,-0.297
127,0,-0.297
128,94,24.4931
129,681,742.002
130,848,1422.54
131,895,1779.14
132,887,1899.99
133,908,1990.23
134,894,1901.48
135,845,1590.5
136,731,1039.67
137,407,276.525
138,0,-0.297
139,0,-0.297
140,0,-0.297
141,0,-0.297
142,0,-0.297
143,0,-0.297
144,0,-0.297
145,0,-0.297
146,0,-0.297
147,0,-0.297
148,0,-0.297
149,0,-0.297
150,0,-0.297
151,0,-0.297
152,119,31.5694
153,667,716.532
154,832,1342.46
155,838,1590.21
156,830,1721.8
157,790,1713.35
158,722,1562.48
159,636,1266.93
160,525,802.634
161,187,180.442
162,0,-0.297
163,0,-0.297
164,0,-0.297
165,0,-0.297
166,0,-0.297
167,0,-0.297
168,0,-0.297
169,0,-0.297
170,0,-0.297
171,0,-0.297
172,0,-0.297
173,0,-0.297
174,0,-0.297
175,0,-0.297
176,17,1.91576
177,4,128.512
178,209,635.903
179,661,1428.56
180,418,1275.39
181,247,1070.73
182,381,1162.4
183,204,756.918
184,65,320.156
185,15,68.2057
186,0,-0.297
187,0,-0.297
188,0,-0.297
189,0,-0.297
190,0,-0.297
191,0,-0.297
192,0,-0.297
193,0,-0.297
194,0,-0.297
195,0,-0.297
196,0,-0.297
197,0,-0.297
198,0,-0.297
199,0,-0.297
200,97,24.9278
201,584,628.833
202,588,1034.24
203,32,474.06
204,439,1288.59
205,504,1347.39
206,782,1552.09
207,728,1309.21
208,668,918.566
209,414,299.266
210,0,-0.297
211,0,-0.297
212,0,-0.297
213,0,-0.297
214,0,-0.297
215,0,-0.297
216,0,-0.297
217,0,-0.297
218,0,-0.297
219,0,-0.297
220,0,-0.297
221,0,-0.297
222,0,-0.297
223,0,-0.297
224,18,3.4259
225,111,257.631
226,507,971.57
227,228,831.359
228,157,811.732
229,823,1708.73
230,74,586.858
231,27,397.206
232,32,195.826
233,168,153.447
234,0,-0.297
235,0,-0.297
236,0,-0.297
237,0,-0.297
238,0,-0.297
239,0,-0.297
240,0,-0.297
241,0,-0.297
242,0,-0.297
243,0,-0.297
244,0,-0.297
245,0,-0.297
246,0,-0.297
247,0,-0.297
248,13,2.42622
249,18,152.769
250,252,688.316
251,286,942.305
252,97,693.987
253,245,1021.16
254,247,953.907
255,359,940.16
256,34,273.709
257,14,68.4138
258,0,-0.297
259,0,-0.297
260,0,-0.297
261,0,-0.297
262,0,-0.297
263,0,-0.297
264,0,-0.297
265,0,-0.297
266,0,-0.297
267,0,-0.297
268,0,-0.297
269,0,-0.297
270,0,-0.297
271,0,-0.297
272,17,1.59515
273,3,104.592
274,3,140.611
275,0,111.94
276,3,263.734
277,9,258.968
278,11,278.674
279,11,181.145
280,15,213.96
281,0,47.9214
282,0,-0.297
283,0,-0.297
284,0,-0.297
285,0,-0.297
286,0,-0.297
287,0,-0.297
288,0,-0.297
289,0,-0.297
290,0,-0.297
291,0,-0.297
292,0,-0.297
293,0,-0.297
294,0,-0.297
295,0,-0.297
296,22,4.10519
297,25,58.7653
298,12,223.55
299,77,595.691
300,837,1800.36
301,900,1892.91
302,883,1791.41
303,836,1524.81
304,723,1044.5
305,415,343.102
306,0,-0.297
307,0,-0.297
308,0,-0.297
309,0,-0.297
310,0,-0.297
311,0,-0.297
312,0,-0.297
313,0,-0.297
314,0,-0.297
315,0,-0.297
316,0,-0.297
317,0,-0.297
318,0,-0.297
319,0,-0.297
320,136,34.8492
321,689,727.458
322,862,1406.19
323,940,1777.45
324,978,1976.4
325,989,2018.53
326,973,1902.5
327,924,1621.63
328,819,1147.41
329,376,322.663
330,0,-0.297
331,0,-0.297
332,0,-0.297
333,0,-0.297
334,0,-0.297
335,0,-0.297
336,0,-0.297
337,0,-0.297
338,0,-0.297
339,0,-0.297
340,0,-0.297
341,0,-0.297
342,0,-0.297
343,0,-0.297
344,110,29.5475
345,619,671.027
346,222,689.698
347,93,606.035
348,477,1350.83
349,231,1040.24
350,493,1329.32
351,605,1269.94
352,446,787.075
353,217,243.959
354,0,-0.297
355,0,-0.297
356,0,-0.297
357,0,-0.297
358,0,-0.297
359,0,-0.297
360,0,-0.297
361,0,-0.297
362,0,-0.297
363,0,-0.297
364,0,-0.297
365,0,-0.297
366,0,-0.297
367,0,-0.297
368,21,5.38412
369,387,504.612
370,292,744.527
371,258,931.718
372,492,1354.91
373,521,1407.96
374,413,1216.27
375,424,1050.8
376,292,622.253
377,114,178.744
378,0,-0.297
379,0,-0.297
380,0,-0.297
381,0,-0.297
382,0,-0.297
383,0,-0.297
384,0,-0.297
385,0,-0.297
386,0,-0.297
387,0,-0.297
388,0,-0.297
389,0,-0.297
390,0,-0.297
391,0,-0.297
392,5,0.979783
393,16,139.953
394,0,88.7037
395,0,260.499
396,48,645.322
397,102,805.745
398,55,638.759
399,195,752.026
400,280,637.677
401,104,170.303
402,0,-0.297
403,0,-0.297
404,0,-0.297
405,0,-0.297
406,0,-0.297
407,0,-0.297
408,0,-0.297
409,0,-0.297
410,0,-0.297
411,0,-0.297
412,0,-0.297
413,0,-0.297
414,0,-0.297
415,0,-0.297
416,124,29.3629
417,574,609.778
418,832,1226.74
419,917,1571.19
420,957,1757.75
421,955,1779.9
422,926,1653.74
423,879,1400.51
424,768,1000.15
425,520,406.491
426,0,-0.297
427,0,-0.297
428,0,-0.297
429,0,-0.297
430,0,-0.297
431,0,-0.297
432,0,-0.297
433,0,-0.297
434,0,-0.297
435,0,-0.297
436,0,-0.297
437,0,-0.297
438,0,-0.297
439,0,-0.297
440,120,27.821
441,583,612.068
442,550,924.792
443,713,1323.79
444,939,1667.69
445,947,1700.73
446,928,1592.84
447,870,1342.12
448,766,975.794
449,524,409.432
450,0,-0.297
451,0,-0.297
452,0,-0.297
453,0,-0.297
454,0,-0.297
455,0,-0.297
456,0,-0.297
457,0,-0.297
458,0,-0.297
459,0,-0.297
460,0,-0.297
461,0,-0.297
462,0,-0.297
463,0,-0.297
464,126,29.7961
465,637,639.175
466,807,1143.27
467,889,1453.68
468,816,1537.33
469,758,1521.56
470,611,1285.02
471,833,1304.97
472,595,831.946
473,334,308.691
474,0,-0.297
475,0,-0.297
476,0,-0.297
477,0,-0.297
478,0,-0.297
479,0,-0.297
480,0,-0.297
481,0,-0.297
482,0,-0.297
483,0,-0.297
484,0,-0.297
485,0,-0.297
486,0,-0.297
487,0,-0.297
488,78,18.8895
489,453,503.667
490,22,257.742
491,114,576.126
492,0,189.895
493,321,1019.57
494,420,1087.92
495,227,700.26
496,75,307.336
497,12,75.3198
498,0,-0.297
499,0,-0.297
500,0,-0.297
501,0,-0.297
502,0,-0.297
503,0,-0.297
504,0,-0.297
505,0,-0.297
506,0,-0.297
507,0,-0.297
508,0,-0.297
509,0,-0.297
510,0,-0.297
511,0,-0.297
512,12,3.1992
513,105,241.131
514,124,452.612
515,134,616.436
516,49,514.639
517,118,710.787
518,316,952.742
519,320,806.489
520,212,454.998
521,68,114.185
522,0,-0.297
523,0,-0.297
524,0,-0.297
525,0,-0.297
526,0,-0.297
527,0,-0.297
528,0,-0.297
529,0,-0.297
530,0,-0.297
531,0,-0.297
532,0,-0.297
533,0,-0.297
534,0,-0.297
535,0,-0.297
536,86,20.6146
537,70,91.4615
538,109,393.375
539,99,310.67
540,236,867.699
541,647,1404.85
542,60,324.454
543,172,405.833
544,697,925.084
545,553,438.677
546,0,-0.297
547,0,-0.297
548,0,-0.297
549,0,-0.297
550,0,-0.297
551,0,-0.297
552,0,-0.297
553,0,-0.297
554,0,-0.297
555,0,-0.297
556,0,-0.297
557,0,-0.297
558,0,-0.297
559,0,-0.297
560,102,28.7062
561,105,180.487
562,28,165.259
563,152,596.331
564,122,710.878
565,79,587.753
566,160,688.058
567,272,759.598
568,87,333.454
569,36,95.3661
570,0,-0.297
571,0,-0.297
572,0,-0.297
573,0,-0.297
574,0,-0.297
575,0,-0.297
576,0,-0.297
577,0,-0.297
578,0,-0.297
579,0,-0.297
580,0,-0.297
581,0,-0.297
582,0,-0.297
583,0,-0.297
584,151,38.8373
585,630,665.086
586,806,1200.26
587,892,1536.31
588,933,1723.71
589,938,1760.09
590,914,1655.87
591,865,1424.6
592,762,1033.61
593,533,466.308
594,0,-0.297
595,0,-0.297
596,0,-0.297
597,0,-0.297
598,0,-0.297
599,0,-0.297
600,0,-0.297
601,0,-0.297
602,0,-0.297
603,0,-0.297
604,0,-0.297
605,0,-0.297
606,0,-0.297
607,0,-0.297
608,129,34.5608
609,596,642.709
610,782,1159.16
611,872,1491.08
612,908,1660.07
613,914,1701.97
614,695,1429.26
615,711,1263.76
616,718,985.76
617,526,463.371
618,0,-0.297
619,0,-0.297
620,0,-0.297
621,0,-0.297
622,0,-0.297
623,0,-0.297
624,0,-0.297
625,0,-0.297
626,0,-0.297
627,0,-0.297
628,0,-0.297
629,0,-0.297
630,0,-0.297
631,0,-0.297
632,153,40.192
633,620,649.48
634,783,1149.43
635,863,1478.51
636,811,1571.15
637,901,1678.04
638,769,1493.04
639,387,929.843
640,102,376.351
641,0,72.4051
642,15,-0.297
643,0,-0.297
644,0,-0.297
645,0,-0.297
646,0,-0.297
647,0,-0.297
648,0,-0.297
649,0,-0.297
650,0,-0.297
651,0,-0.297
652,0,-0.297
653,0,-0.297
654,0,-0.297
655,0,-0.297
656,0,-0.297
657,0,6.82139
658,0,47.1888
659,0,153.579
660,1,313.258
661,2,262.934
662,0,102.607
663,0,86.3239
664,0,39.7886
665,0,15.3135
666,6,-0.297
667,0,-0.297
668,0,-0.297
669,0,-0.297
670,0,-0.297
671,0,-0.297
672,0,-0.297
673,0,-0.297
674,0,-0.297
675,0,-0.297
676,0,-0.297
677,0,-0.297
678,0,-0.297
679,0,-0.297
680,7,-0.297
681,0,38.4326
682,1,140.148
683,2,188.586
684,9,339.613
685,0,207.204
686,0,121.704
687,3,212.305
688,3,113.802
689,0,30.3181
690,15,-0.297
691,0,-0.297
692,0,-0.297
693,0,-0.297
694,0,-0.297
695,0,-0.297
696,0,-0.297
697,0,-0.297
698,0,-0.297
699,0,-0.297
700,0,-0.297
701,0,-0.297
702,0,-0.297
703,0,-0.297
704,28,13.684
705,45,158.663
706,112,445.669
707,481,1185.61
708,753,1660.84
709,832,1781.41
710,833,1697.6
711,819,1478.23
712,749,1097.76
713,573,532.262
714,31,-0.297
715,0,-0.297
716,0,-0.297
717,0,-0.297
718,0,-0.297
719,0,-0.297
720,0,-0.297
721,0,-0.297
722,0,-0.297
723,0,-0.297
724,0,-0.297
725,0,-0.297
726,0,-0.297
727,0,-0.297
728,60,21.5954
729,320,467.926
730,812,1204.37
731,878,1516.06
732,900,1703.04
733,681,1560.93
734,223,904.048
735,135,619.947
736,254,562.016
737,379,404.191
738,48,-0.297
739,0,-0.297
740,0,-0.297
741,0,-0.297
742,0,-0.297
743,0,-0.297
744,0,-0.297
745,0,-0.297
746,0,-0.297
747,0,-0.297
748,0,-0.297
749,0,-0.297
750,0,-0.297
751,0,-0.297
752,202,50.1969
753,626,689.973
754,790,1196.31
755,868,1525.05
756,909,1697.12
757,920,1740.85
758,893,1630.37
759,851,1413.81
760,766,1051.85
761,566,510.332
762,0,-0.297
763,0,-0.297
764,0,-0.297
765,0,-0.297
766,0,-0.297
767,0,-0.297
768,0,-0.297
769,0,-0.297
770,0,-0.297
771,0,-0.297
772,0,-0.297
773,0,-0.297
774,0,-0.297
775,0,-0.297
776,124,36.707
777,522,619.931
778,702,1096.81
779,767,1381.44
780,811,1557.54
781,813,1617.46
782,723,1513.5
783,448,1093.01
784,192,564.052
785,101,230.23
786,0,-0.297
787,0,-0.297
788,0,-0.297
789,0,-0.297
790,0,-0.297
791,0,-0.297
792,0,-0.297
793,0,-0.297
794,0,-0.297
795,0,-0.297
796,0,-0.297
797,0,-0.297
798,0,-0.297
799,0,-0.297
800,0,-0.297
801,0,22.0188
802,0,58.7386
803,60,547.1
804,60,629.479
805,0,307.758
806,739,1620.33
807,283,892.025
808,597,1001.31
809,411,469.274
810,0,-0.297
811,0,-0.297
812,0,-0.297
813,0,-0.297
814,0,-0.297
815,0,-0.297
816,0,-0.297
817,0,-0.297
818,0,-0.297
819,0,-0.297
820,0,-0.297
821,0,-0.297
822,0,-0.297
823,0,-0.297
824,0,0.823714
825,0,145.258
826,303,759.672
827,596,1404.78
828,647,1610.31
829,177,945.157
830,46,582.317
831,345,974.7
832,0,93.199
833,348,447.506
834,0,-0.297
835,0,-0.297
836,0,-0.297
837,0,-0.297
838,0,-0.297
839,0,-0.297
840,0,-0.297
841,0,-0.297
842,0,-0.297
843,0,-0.297
844,0,-0.297
845,0,-0.297
846,0,-0.297
847,0,-0.297
848,267,85.4588
849,691,793.342
850,851,1347.62
851,917,1705.15
852,957,1892.48
853,971,1952.48
854,944,1838.51
855,892,1593.04
856,797,1180.52
857,632,609.331
858,0,-0.297
859,0,-0.297
860,0,-0.297
861,0,-0.297
862,0,-0.297
863,0,-0.297
864,0,-0.297
865,0,-0.297
866,0,-0.297
867,0,-0.297
868,0,-0.297
869,0,-0.297
870,0,-0.297
871,0,-0.297
872,197,71.786
873,595,712.835
874,766,1225.32
875,808,1528.47
876,821,1691.19
877,846,1734.38
878,865,1664.4
879,825,1434.58
880,739,1073.83
881,561,551.035
882,0,-0.297
883,0,-0.297
884,0,-0.297
885,0,-0.297
886,0,-0.297
887,0,-0.297
888,0,-0.297
889,0,-0.297
890,0,-0.297
891,0,-0.297
892,0,-0.297
893,0,-0.297
894,0,-0.297
895,0,-0.297
896,83,44.2745
897,221,407.56
898,601,1082.66
899,784,1476.3
900,853,1676.63
901,875,1731.08
902,857,1634.91
903,816,1411.86
904,706,1042.04
905,333,403.097
906,0,-0.297
907,0,-0.297
908,0,-0.297
909,0,-0.297
910,0,-0.297
911,0,-0.297
912,0,-0.297
913,0,-0.297
914,0,-0.297
915,0,-0.297
916,0,-0.297
917,0,-0.297
918,0,-0.297
919,0,-0.297
920,0,-0.297
921,0,10.4321
922,0,50.6465
923,808,1463.91
924,867,1670.34
925,890,1735.88
926,870,1645.92
927,828,1425.2
928,734,1066.67
929,570,558.169
930,0,-0.297
931,0,-0.297
932,0,-0.297
933,0,-0.297
934,0,-0.297
935,0,-0.297
936,0,-0.297
937,0,-0.297
938,0,-0.297
939,0,-0.297
940,0,-0.297
941,0,-0.297
942,0,-0.297
943,0,-0.297
944,263,92.4497
945,651,745.6
946,806,1201.48
947,458,1121.7
948,505,1313.59
949,384,1212.32
950,788,1595.21
951,508,1125.63
952,249,659.63
953,358,461.818
954,0,-0.297
955,0,-0.297
956,0,-0.297
957,0,-0.297
958,0,-0.297
959,0,-0.297
960,0,-0.297
961,0,-0.297
962,0,-0.297
963,0,-0.297
964,0,-0.297
965,0,-0.297
966,0,-0.297
967,0,-0.297
968,0,13.3641
969,0,140.056
970,229,690.649
971,296,970.965
972,260,1049.75
973,63,667.809
974,236,952.3
975,161,711.257
976,0,52.4952
977,0,120.558
978,0,-0.297
979,0,-0.297
980,0,-0.297
981,0,-0.297
982,0,-0.297
983,0,-0.297
984,0,-0.297
985,0,-0.297
986,0,-0.297
987,0,-0.297
988,0,-0.297
989,0,-0.297
990,0,-0.297
991,0,-0.297
992,0,20.5568
993,182,384.125
994,510,954.823
995,374,1039.8
996,370,1190.85
997,430,1297.78
998,438,1237.52
999,409,1042.86
1000,184,551.106
1001,10,143.413
1002,0,-0.297
1003,0,-0.297
1004,0,-0.297
1005,0,-0.297
1006,0,-0.297
1007,0,-0.297
1008,0,-0.297
1009,0,-0.297
1010,0,-0.297
1011,0,-0.297
1012,0,-0.297
1013,0,-0.297
1014,0,-0.297
1015,0,-0.297
1016,331,133.379
1017,689,776.481
1018,826,1277.71
1019,894,1618.02
1020,923,1793.42
1021,928,1842.45
1022,919,1754.41
1023,887,1541.74
1024,810,1168.89
1025,144,285.146
1026,149,27.9308
1027,0,-0.297
1028,0,-0.297
1029,0,-0.297
1030,0,-0.297
1031,0,-0.297
1032,0,-0.297
1033,0,-0.297
1034,0,-0.297
1035,0,-0.297
1036,0,-0.297
1037,0,-0.297
1038,0,-0.297
1039,0,-0.297
1040,0,17.4795
1041,0,125.565
1042,811,1285.32
1043,877,1622.81
1044,908,1814.17
1045,902,1854.95
1046,890,1756.27
1047,61,560.264
1048,748,1142.63
1049,583,614.833
1050,128,27.0035
1051,0,-0.297
1052,0,-0.297
1053,0,-0.297
1054,0,-0.297
1055,0,-0.297
1056,0,-0.297
1057,0,-0.297
1058,0,-0.297
1059,0,-0.297
1060,0,-0.297
1061,0,-0.297
1062,0,-0.297
1063,0,-0.297
1064,31,57.8891
1065,139,379.187
1066,25,351.077
1067,86,639.812
1068,427,1292.23
1069,125,867.691
1070,6,380.486
1071,103,633.961
1072,0,147.946
1073,0,84.6198
1074,0,-0.297
1075,0,-0.297
1076,0,-0.297
1077,0,-0.297
1078,0,-0.297
1079,0,-0.297
1080,0,-0.297
1081,0,-0.297
1082,0,-0.297
1083,0,-0.297
1084,0,-0.297
1085,0,-0.297
1086,0,-0.297
1087,0,-0.297
1088,320,173.879
1089,661,806.555
1090,802,1299.56
1091,874,1620.66
1092,902,1792.48
1093,903,1830.15
1094,892,1732.04
1095,834,1494.02
1096,730,1127.09
1097,569,587.259
1098,0,15.4772
1099,0,-0.297
1100,0,-0.297
1101,0,-0.297
1102,0,-0.297
1103,0,-0.297
1104,0,-0.297
1105,0,-0.297
1106,0,-0.297
1107,0,-0.297
1108,0,-0.297
1109,0,-0.297
1110,0,-0.297
1111,0,-0.297
1112,0,38.5601
1113,137,373.463
1114,159,636.594
1115,820,1618.54
1116,356,1241.28
1117,0,88.7359
1118,39,601.078
1119,0,226.171
1120,289,729.449
1121,569,636.459
1122,168,45.995
1123,0,-0.297
1124,0,-0.297
1125,0,-0.297
1126,0,-0.297
1127,0,-0.297
1128,0,-0.297
1129,0,-0.297
1130,0,-0.297
1131,0,-0.297
1132,0,-0.297
1133,0,-0.297
1134,0,-0.297
1135,0,-0.297
1136,427,221.059
1137,736,856.722
1138,860,1339.83
1139,918,1640.42
1140,939,1792.39
1141,938,1809.74
1142,916,1699.95
1143,873,1475.73
1144,795,1145.79
1145,631,653.583
1146,210,51.7137
1147,0,-0.297
1148,0,-0.297
1149,0,-0.297
1150,0,-0.297
1151,0,-0.297
1152,0,-0.297
1153,0,-0.297
1154,0,-0.297
1155,0,-0.297
1156,0,-0.297
1157,0,-0.297
1158,0,-0.297
1159,0,-0.297
1160,0,-0.297
1161,0,12.8624
1162,0,26.0221
1163,0,10.8212
1164,0,27.5354
1165,0,69.5611
1166,0,106.515
1167,0,33.1578
1168,0,180.594
1169,297,481.808
1170,0,13.7057
1171,0,-0.297
1172,0,-0.297
1173,0,-0.297
1174,0,-0.297
1175,0,-0.297
1176,0,-0.297
1177,0,-0.297
1178,0,-0.297
1179,0,-0.297
1180,0,-0.297
1181,0,-0.297
1182,0,-0.297
1183,0,-0.297
1184,0,-0.297
1185,0,7.12096
1186,0,105.866
1187,813,1608.02
1188,868,1829.47
1189,414,1399.14
1190,62,706.013
1191,122,740.515
1192,783,1240.89
1193,629,695.445
1194,0,36.035
1195,0,-0.297
1196,0,-0.297
1197,0,-0.297
1198,0,-0.297
1199,0,-0.297
1200,0,-0.297
1201,0,-0.297
1202,0,-0.297
1203,0,-0.297
1204,0,-0.297
1205,0,-0.297
1206,0,-0.297
1207,0,-0.297
1208,391,240.336
1209,690,881.843
1210,815,1385.3
1211,418,1242.3
1212,941,1943.78
1213,943,1980.91
1214,909,1882.19
1215,866,1631.42
1216,774,1236.29
1217,614,689.001
1218,201,60.9446
