Time stamp,Irradiance DNI from weather file | (W/m2),Inverter DC input power | (kW)
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,860.708,1149220.8
15,1021.8881,1797444.5
16,1072.3057,1716620.9
17,1091.4894,1454379.5
18,1094.9055,1382968.2
19,1084.6934,1559600.6
20,1053.9357,1768397.1
21,970.53595,1715640.4
22,603.7854,353978.88
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,860.73773,1168346
39,1022.1356,1854458.8
40,1072.5961,1739623.2
41,1091.8278,1501021.9
42,1095.3302,1422377
43,1085.2924,1603306.9
44,1054.9491,1801535.6
45,972.9424,1770014.6
46,616.61865,382800.7
47,0,
48,0,
49,0,
50,0,
51,0,
52,0,
53,0,
54,0,
55,0,
56,0,
57,0,
58,0,
59,0,
60,0,
61,0,
62,860.993,1155224.6
63,1022.4492,1800667.4
64,1072.9181,1702590.5
65,1092.1857,1471361.1
66,1095.7708,1401892.8
67,1085.9078,1569386.2
68,1055.9852,1809058.4
69,975.38354,1743425.6
70,629.4181,405424.78
71,0,
72,0,
73,0,
74,0,
75,0,
76,0,
77,0,
78,0,
79,0,
80,0,
81,0,
82,0,
83,0,
84,0,
85,0,
86,861.474,1165728
87,1022.828,1834482.4
88,1073.2709,1737982.4
89,1092.5629,1494377.6
90,1096.2266,1419160.1
91,1086.5391,1565881.5
92,1057.0416,1770527.5
93,977.8541,1743698.5
94,642.1483,428566.66
95,0,
96,0,
97,0,
98,0,
99,0,
100,0,
101,0,
102,0,
103,0,
104,0,
105,0,
106,0,
107,0,
108,0,
109,0,
110,862.1795,1193566.1
111,1023.2711,1878123.8
112,1073.6539,1791275.9
113,1092.9586,1540546
114,1096.6965,1468889.5
115,1087.1846,1639968.5
116,1058.116,1873999.1
117,980.34875,1837521.8
118,654.7768,469863.28
119,0,
120,0,
121,0,
122,0,
123,0,
124,0,
125,0,
126,0,
127,0,
128,0,
129,0,
130,0,
131,0,
132,0,
133,0,
134,863.1072,1190495.9
135,1023.77765,1854814.9
136,1074.0663,1765311.6
