gamma_DNI / CP, -2.0 - -0.4, -0.4 - -0.3, -0.3 - -0.2, -0.2 - -0.1, -0.1 -  0.0,  0.0 -  0.1,  0.1 -  0.2,  0.2 -  0.3,  0.3 -  0.4,  0.4 -  0.5,  0.5 -  0.6,  0.6 -  0.7,  0.7 -  0.8,  0.8 -  0.9,  0.9 -  1.0,  1.0 -  1.1,  1.1 -  1.2,  1.2 -  1.3,  1.3 -  1.4,  1.4 -  1.6
-0.05,1.65E-08,2.17E-08,2.48E-08,3.09E-08,4.49E-08,6.70E-08,1.06E-07,1.74E-07,2.67E-07,3.97E-07,5.71E-07,8.10E-07,1.11E-06,1.55E-06,2.03E-06,2.38E-06,2.84E-06,2.86E-06,4.86E-06,3.13E-08
 0.05 -  0.10,6.14E-08,1.07E-07,1.39E-07,2.05E-07,3.72E-07,7.50E-07,1.49E-06,2.57E-06,4.03E-06,5.87E-06,8.09E-06,1.06E-05,1.33E-05,1.64E-05,1.91E-05,2.15E-05,2.45E-05,2.65E-05,2.75E-05,0.00E+00
 0.10 -  0.15,7.64E-08,1.45E-07,1.89E-07,2.84E-07,5.77E-07,1.28E-06,2.72E-06,4.89E-06,7.72E-06,1.12E-05,1.50E-05,1.90E-05,2.28E-05,2.66E-05,2.96E-05,3.04E-05,3.09E-05,3.00E-05,2.90E-05,0.00E+00
 0.15 -  0.20,8.58E-08,1.67E-07,2.16E-07,3.22E-07,6.78E-07,1.67E-06,3.81E-06,7.09E-06,1.12E-05,1.59E-05,2.10E-05,2.54E-05,2.92E-05,3.24E-05,3.44E-05,3.31E-05,3.36E-05,3.13E-05,7.77E-05,0.00E+00
 0.20 -  0.25,9.56E-08,1.76E-07,2.34E-07,3.51E-07,7.77E-07,2.05E-06,4.87E-06,9.19E-06,1.48E-05,2.07E-05,2.68E-05,3.13E-05,3.43E-05,3.62E-05,3.67E-05,3.39E-05,2.86E-05,1.80E-05,1.23E-05,0.00E+00
 0.25 -  0.30,8.82E-08,1.83E-07,2.52E-07,3.90E-07,7.96E-07,2.18E-06,5.36E-06,1.06E-05,1.71E-05,2.41E-05,3.01E-05,3.42E-05,3.66E-05,3.76E-05,3.66E-05,3.36E-05,2.87E-05,3.02E-05,2.50E-06,0.00E+00
 0.30 -  0.35,8.80E-08,1.77E-07,2.35E-07,3.56E-07,7.78E-07,2.28E-06,6.03E-06,1.22E-05,1.98E-05,2.69E-05,3.25E-05,3.56E-05,3.64E-05,3.59E-05,3.33E-05,2.89E-05,2.49E-05,1.66E-05,7.82E-06,0.00E+00
 0.35 -  0.40,8.77E-08,1.74E-07,2.35E-07,3.60E-07,7.71E-07,2.30E-06,6.38E-06,1.35E-05,2.19E-05,2.94E-05,3.38E-05,3.54E-05,3.49E-05,3.30E-05,2.96E-05,2.48E-05,2.00E-05,1.25E-05,5.89E-06,0.00E+00
 0.40 -  0.45,7.67E-08,1.50E-07,2.04E-07,3.19E-07,6.85E-07,2.30E-06,6.85E-06,1.46E-05,2.35E-05,3.00E-05,3.31E-05,3.29E-05,3.07E-05,2.81E-05,2.50E-05,2.13E-05,1.66E-05,1.55E-05,8.90E-06,0.00E+00
 0.45 -  0.50,6.85E-08,1.26E-07,1.74E-07,2.54E-07,5.75E-07,2.05E-06,6.49E-06,1.43E-05,2.28E-05,2.82E-05,2.93E-05,2.77E-05,2.47E-05,2.23E-05,1.95E-05,1.72E-05,1.48E-05,1.13E-05,9.97E-06,0.00E+00
 0.50 -  0.55,6.00E-08,1.07E-07,1.46E-07,2.14E-07,4.76E-07,1.87E-06,6.42E-06,1.44E-05,2.20E-05,2.50E-05,2.44E-05,2.15E-05,1.85E-05,1.67E-05,1.51E-05,1.23E-05,1.09E-05,6.83E-06,3.95E-06,0.00E+00
 0.55 -  0.60,5.45E-08,8.43E-08,1.10E-07,1.62E-07,3.57E-07,1.44E-06,5.31E-06,1.24E-05,1.80E-05,1.92E-05,1.74E-05,1.45E-05,1.24E-05,1.11E-05,1.02E-05,9.23E-06,8.33E-06,7.41E-06,1.03E-05,0.00E+00
 0.60 -  0.65,5.04E-08,6.61E-08,7.87E-08,1.04E-07,2.43E-07,1.08E-06,4.34E-06,1.00E-05,1.35E-05,1.28E-05,1.05E-05,8.57E-06,7.34E-06,6.72E-06,6.32E-06,5.98E-06,5.48E-06,5.91E-06,7.29E-06,1.29E-05
 0.65 -  0.70,4.65E-08,5.31E-08,5.62E-08,6.96E-08,1.64E-07,7.59E-07,3.32E-06,7.41E-06,9.00E-06,7.31E-06,5.61E-06,4.63E-06,4.02E-06,3.77E-06,3.62E-06,3.75E-06,4.05E-06,4.68E-06,1.28E-06,0.00E+00
 0.70 -  0.75,4.32E-08,4.14E-08,3.93E-08,4.27E-08,8.67E-08,4.76E-07,2.34E-06,5.12E-06,4.83E-06,3.10E-06,2.29E-06,1.92E-06,1.70E-06,1.60E-06,1.51E-06,1.76E-06,1.86E-06,2.76E-06,2.81E-06,1.47E-05
 0.75 -  0.80,3.67E-08,2.98E-08,2.64E-08,2.72E-08,5.67E-08,3.51E-07,1.83E-06,3.32E-06,1.93E-06,9.42E-07,6.97E-07,6.06E-07,5.35E-07,5.02E-07,4.92E-07,5.28E-07,6.97E-07,1.11E-06,1.85E-06,0.00E+00
 0.80 -  0.85,2.40E-08,1.66E-08,1.46E-08,1.32E-08,2.80E-08,2.75E-07,1.42E-06,1.67E-06,5.05E-07,1.83E-07,1.31E-07,1.10E-07,9.81E-08,9.13E-08,9.04E-08,8.69E-08,9.37E-08,3.13E-08,-6.82E-21,0.00E+00
 0.85 -  0.90,1.02E-08,4.91E-09,5.46E-09,6.62E-09,1.35E-08,2.19E-07,8.50E-07,4.94E-07,7.00E-08,1.92E-08,1.37E-08,1.12E-08,1.00E-08,8.96E-09,9.50E-09,8.62E-09,1.65E-08,3.26E-08,1.50E-07,0.00E+00
 0.90 -  0.95,9.96E-10,3.15E-09,2.89E-09,3.44E-09,3.54E-09,1.49E-07,4.09E-07,9.15E-08,1.53E-09,-2.09E-20,-6.38E-21,-4.12E-21,-1.64E-20,-1.97E-20,-1.74E-20,-1.63E-20,-6.11E-21,-1.17E-20,0.00E+00,0.00E+00
